Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak
2460951.521168981679	1.98E-8	7.8E-9	2.5E-8	5.040000081E-1
2460951.521203703713	1.84E-8	6.1E-9	2.31E-8	4.960000217E-1
2460951.521250000224	1.52E-8	7.4E-9	2.25E-8	6.720000505E-1
2460951.521284722257	1.73E-8	9.0E-9	1.96E-8	4.800000191E-1
2460951.521319444291	1.87E-8	1.06E-8	2.17E-8	6.880000234E-1
2460951.521354166791	1.56E-8	9.0E-9	2.38E-8	4.560000002E-1
2460951.521377314813	1.73E-8	7.4E-9	2.0E-8	6.000000238E-1
2460951.521412036847	1.67E-8	7.3E-9	2.34E-8	4.160000086E-1
2460951.521458333358	1.77E-8	5.7E-9	2.12E-8	1.2720000744E0
2460951.521481481381	1.85E-8	8.9E-9	2.14E-8	6.079999804E-1
2460951.521516203880	1.8E-8	8.0E-9	2.22E-8	5.520000458E-1
2460951.521562499925	1.77E-8	9.8E-9	2.2E-8	7.680000663E-1
2460951.521597222425	1.64E-8	8.6E-9	2.17E-8	4.880000353E-1
2460951.521678240970	1.87E-8	7.2E-9	1.66E-8	5.680000186E-1
2460951.521724537015	1.65E-8	6.4E-9	2.06E-8	4.160000086E-1
2460951.521759259049	1.51E-8	6.4E-9	2.27E-8	4.00000006E-1
2460951.521817129571	1.66E-8	6.4E-9	2.2E-8	4.160000086E-1
2460951.521851852071	1.64E-8	9.2E-9	2.35E-8	7.920000553E-1
2460951.521886574104	1.69E-8	9.1E-9	2.33E-8	5.600000024E-1
2460951.521921296138	1.91E-8	7.2E-9	2.32E-8	5.199999809E-1
2460951.521956018638	1.82E-8	5.9E-9	2.78E-8	4.720000327E-1
2460951.521990740672	1.74E-8	6.6E-9	1.92E-8	4.160000086E-1
2460951.522025463171	1.92E-8	7.2E-9	2.06E-8	1.4560000896E0
2460951.522060185205	1.94E-8	5.8E-9	1.7E-8	4.320000112E-1
