Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.647499999963	1.6E-8	1.02E-8	1.83E-8	3.2599999905E0	2460957.647499999963	1.5E-8	7.7E-9	1.39E-8	2.4799997807E0
2460957.647604166530	1.79E-8	1.14E-8	2.01E-8	2.4399998188E0	2460957.647604166530	1.72E-8	9.6E-9	2.31E-8	1.939999938E0
2460957.647696759086	1.79E-8	9.4E-9	1.71E-8	1.1999999285E0	2460957.647696759086	1.92E-8	8.5E-9	1.71E-8	2.0399999619E0
2460957.647847222164	1.45E-8	1.35E-8	1.26E-8	2.0999999046E0	2460957.647847222164	1.6E-8	7.5E-9	1.25E-8	3.9599997997E0
2460957.647893518675	1.99E-8	5.8E-9	1.69E-8	2.4199998379E0	2460957.647893518675	1.64E-8	9.0E-9	2.5E-8	1.8199999332E0
2460957.647997685242	1.94E-8	1.56E-8	2.18E-8	1.7999999523E0	2460957.647997685242	1.92E-8	8.9E-9	2.48E-8	1.4599999189E0
2460957.648043981288	1.66E-8	7.2E-9	2.58E-8	2.0999999046E0	2460957.648043981288	1.4E-8	8.5E-9	2.53E-8	1.9599999189E0
2460957.648240740877	1.77E-8	7.2E-9	2.65E-8	3.1399998665E0	2460957.648240740877	1.67E-8	7.4E-9	2.13E-8	1.8200000525E0
2460957.648298610933	1.94E-8	9.7E-9	2.07E-8	1.5999999046E0	2460957.648298610933	1.5E-8	4.3E-9	1.81E-8	1.3999998569E0
2460957.648391203489	2.32E-8	1.28E-8	2.05E-8	1.6799999475E0	2460957.648391203489	1.87E-8	6.9E-9	1.19E-8	1.0399999619E0
2460957.648449074011	2.1E-8	5.3E-9	2.57E-8	1.9199999571E0	2460957.648449074011	1.36E-8	1.01E-8	2.31E-8	2.8399999142E0
2460957.648587963078	1.89E-8	8.4E-9	2.72E-8	1.7199999094E0	2460957.648587963078	1.71E-8	1.28E-8	2.08E-8	1.2999999523E0
2460957.648645833135	1.3E-8	6.8E-9	2.29E-8	2.2999999523E0	2460957.648645833135	1.65E-8	1.28E-8	1.77E-8	1.2199999094E0
2460957.648888888769	1.9E-8	6.1E-9	2.16E-8	2.1799998283E0	2460957.648888888769	1.36E-8	1.09E-8	1.71E-8	2.0399999619E0
2460957.648935185280	1.66E-8	1.1E-8	2.6E-8	2.5199999809E0	2460957.648935185280	1.54E-8	3.5E-9	2.39E-8	1.6800000668E0
2460957.649039351847	1.52E-8	6.8E-9	1.68E-8	2.2400000095E0	2460957.649039351847	1.87E-8	7.5E-9	1.74E-8	1.879999876E0
2460957.649189814925	1.92E-8	4.6E-9	2.27E-8	3.0199999809E0	2460957.649189814925	2.04E-8	7.2E-9	2.31E-8	2.5E0
2460957.649236110970	2.01E-8	6.4E-9	1.85E-8	2.7599999905E0	2460957.649236110970	1.7E-8	8.6E-9	1.73E-8	1.8200000525E0
2460957.649386574049	2.02E-8	7.4E-9	1.97E-8	2.6999998093E0	2460957.649386574049	2.8E-9	9.9E-9	1.66E-8	1.9199999571E0
2460957.649432870559	1.76E-8	9.4E-9	2.86E-8	1.7599998713E0	2460957.649432870559	1.52E-8	1.15E-8	1.54E-8	2.5399999619E0
2460957.649490740616	1.75E-8	5.8E-9	2.19E-8	1.9999998808E0	2460957.649490740616	1.91E-8	8.4E-9	2.26E-8	1.9199999571E0
2460957.649537037127	2.05E-8	1.16E-8	2.42E-8	1.879999876E0	2460957.649537037127	2.05E-8	1.16E-8	2.17E-8	1.3999998569E0
2460957.649641203694	1.42E-8	1.14E-8	1.3E-8	2.5199999809E0	2460957.649641203694	1.45E-8	1.17E-8	1.86E-8	3.0199999809E0
2460957.649687500205	2.04E-8	7.4E-9	2.76E-8	1.3599998951E0	2460957.649687500205	1.43E-8	8.0E-9	1.72E-8	1.3599998951E0
2460957.649780092761	1.75E-8	6.9E-9	1.67E-8	1.879999876E0	2460957.649780092761	1.45E-8	6.3E-9	1.26E-8	1.1599999666E0
2460957.649837962817	1.87E-8	7.3E-9	2.2E-8	2.0599999428E0	2460957.649837962817	1.71E-8	8.3E-9	1.66E-8	2.7399997711E0
2460957.649930555373	1.53E-8	1.01E-8	1.68E-8	1.5399999619E0	2460957.649930555373	1.21E-8	6.1E-9	1.86E-8	1.2599999905E0
2460957.650034722406	1.8E-8	1.15E-8	2.13E-8	1.7599998713E0	2460957.650034722406	1.61E-8	1.0E-8	2.07E-8	1.6999999285E0
2460957.650081018452	2.03E-8	1.1E-8	1.73E-8	1.439999938E0	2460957.650081018452	1.87E-8	1.08E-8	2.13E-8	1.7999999523E0
2460957.650127314962	1.79E-8	5.0E-9	2.4E-8	2.4199998379E0	2460957.650127314962	1.84E-8	8.2E-9	2.1E-8	1.8200000525E0
2460957.650231481530	1.67E-8	9.9E-9	2.02E-8	1.4199999571E0	2460957.650231481530	1.56E-8	8.0E-9	1.89E-8	1.2199999094E0
2460957.650428240653	1.96E-8	6.7E-9	1.84E-8	1.5199999809E0	2460957.650428240653	1.79E-8	8.4E-9	1.72E-8	1.4199999571E0
2460957.650578703731	1.75E-8	4.9E-9	2.69E-8	1.6399998665E0	2460957.650578703731	1.66E-8	8.7E-9	2.22E-8	1.8599998951E0
